date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:11	34178/34178	---M-Z	200	added ('OK')	text/html	etag:%221766832727-1%22	https://www.academie-francaise.fr/	./www.academie-francaise.fr/index.html	(from )
11:41:12	17187/17187	---M-Z	200	added ('OK')	application/rss+xml	etag:%221766832743-1%22	https://www.academie-francaise.fr/rss.xml	./www.academie-francaise.fr/rss.xml	(from https://www.academie-francaise.fr/)
11:41:18	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221536-4c61b197ece40%22	https://www.academie-francaise.fr/sites/academie-francaise.fr/themes/af/favicon.ico	./www.academie-francaise.fr/sites/academie-francaise.fr/themes/af/favicon.ico	(from https://www.academie-francaise.fr/)
11:41:23	5428/5428	---M--	200	added ('OK')	text/css	etag:%221534-5fce8c3bb5680%22	https://www.academie-francaise.fr/modules/system/system.base.css?sw7dy1	./www.academie-francaise.fr/modules/system/system.basefd29.css	(from https://www.academie-francaise.fr/)
11:41:27	2035/2035	---M--	200	added ('OK')	text/css	etag:%227f3-5fce8c3ca98c0%22	https://www.academie-francaise.fr/modules/system/system.menus.css?sw7dy1	./www.academie-francaise.fr/modules/system/system.menusfd29.css	(from https://www.academie-francaise.fr/)
11:41:31	961/961	---M--	200	added ('OK')	text/css	etag:%223c1-5fce8c3ca98c0%22	https://www.academie-francaise.fr/modules/system/system.messages.css?sw7dy1	./www.academie-francaise.fr/modules/system/system.messagesfd29.css	(from https://www.academie-francaise.fr/)
11:41:37	3711/3711	---M--	200	added ('OK')	text/css	etag:%22e7f-5fce8c3ca98c0%22	https://www.academie-francaise.fr/modules/system/system.theme.css?sw7dy1	./www.academie-francaise.fr/modules/system/system.themefd29.css	(from https://www.academie-francaise.fr/)
11:41:42	12532/12532	---M--	200	added ('OK')	text/css	etag:%2230f4-4c61b18a92ec0%22	https://www.academie-francaise.fr/sites/all/libraries/mediaelement/build/mediaelementplayer.min.css?sw7dy1	./www.academie-francaise.fr/sites/all/libraries/mediaelement/build/mediaelementplayer.minfd29.css	(from https://www.academie-francaise.fr/)
11:41:43	730/730	---M--	200	added ('OK')	text/css	etag:%222da-4cc2854203e40%22	https://www.academie-francaise.fr/sites/academie-francaise.fr/modules/academie/academie.css?sw7dy1	./www.academie-francaise.fr/sites/academie-francaise.fr/modules/academie/academiefd29.css	(from https://www.academie-francaise.fr/)
11:41:43	617/617	---M--	200	added ('OK')	text/css	etag:%22269-5649e82a4c4c0%22	https://www.academie-francaise.fr/sites/academie-francaise.fr/modules/academie_columns/academie_columns.css?sw7dy1	./www.academie-francaise.fr/sites/academie-francaise.fr/modules/academie_columns/academie_columnsfd29.css	(from https://www.academie-francaise.fr/)
11:41:43	1959/1959	---M--	200	added ('OK')	text/css	etag:%227a7-4c61b18e637c0%22	https://www.academie-francaise.fr/sites/academie-francaise.fr/modules/academie_help/academie_help.css?sw7dy1	./www.academie-francaise.fr/sites/academie-francaise.fr/modules/academie_help/academie_helpfd29.css	(from https://www.academie-francaise.fr/)
11:41:45	202/202	---M--	200	added ('OK')	text/css	etag:%22ca-4c61b196f8c00%22	https://www.academie-francaise.fr/sites/academie-francaise.fr/modules/academie_sidebar/academie_sidebar.css?sw7dy1	./www.academie-francaise.fr/sites/academie-francaise.fr/modules/academie_sidebar/academie_sidebarfd29.css	(from https://www.academie-francaise.fr/)
11:41:48	3733/3733	---M--	200	added ('OK')	text/css	etag:%22e95-5712e57060580%22	https://www.academie-francaise.fr/sites/all/modules/date/date_api/date.css?sw7dy1	./www.academie-francaise.fr/sites/all/modules/date/date_api/datefd29.css	(from https://www.academie-francaise.fr/)
11:41:49	550/550	---M--	200	added ('OK')	text/css	etag:%22226-5fce8c3f85f80%22	https://www.academie-francaise.fr/modules/field/theme/field.css?sw7dy1	./www.academie-francaise.fr/modules/field/theme/fieldfd29.css	(from https://www.academie-francaise.fr/)
11:41:51	144/144	---M--	200	added ('OK')	text/css	etag:%2290-5fce8c37e4d80%22	https://www.academie-francaise.fr/modules/node/node.css?sw7dy1	./www.academie-francaise.fr/modules/node/nodefd29.css	(from https://www.academie-francaise.fr/)
11:41:53	6995/6995	---M--	200	added ('OK')	text/css	etag:%221b53-5155793d37480%22	https://www.academie-francaise.fr/sites/all/modules/sdv/sdv/sdv.css?sw7dy1	./www.academie-francaise.fr/sites/all/modules/sdv/sdv/sdvfd29.css	(from https://www.academie-francaise.fr/)
11:41:55	564/564	---M--	200	added ('OK')	text/css	etag:%22234-5fce8c3ac1440%22	https://www.academie-francaise.fr/modules/search/search.css?sw7dy1	./www.academie-francaise.fr/modules/search/searchfd29.css	(from https://www.academie-francaise.fr/)
11:41:56	1827/1827	---M--	200	added ('OK')	text/css	etag:%22723-5fce8c3e91d40%22	https://www.academie-francaise.fr/modules/user/user.css?sw7dy1	./www.academie-francaise.fr/modules/user/userfd29.css	(from https://www.academie-francaise.fr/)
11:41:58	707/707	---M--	200	added ('OK')	text/css	etag:%222c3-586419f0d52c0%22	https://www.academie-francaise.fr/sites/all/modules/views/css/views.css?sw7dy1	./www.academie-francaise.fr/sites/all/modules/views/css/viewsfd29.css	(from https://www.academie-francaise.fr/)
